word,gender_score
foster,-0.190138
foto,0.852581
fotos,-0.189043
foundation,0.283931
founder,0.692101
founding,0.868369
fountain,-0.260185
fountains,-0.863569
fox,-0.426024
fragrance,0.239828
fragrances,0.688021
frame,0.101235
franchise,-0.721357
francisco,-0.623216
fraternity,0.889046
fraud,0.604903
frauenebondage,-0.350365
freak,0.23526
freecock,-0.421222
freedom,0.845293
freepics,-0.86431
frees,-0.839812
freesex,-0.466667
freinds,-0.830381
french,-0.58927
frenzy,0.008584
freshman,0.270423
freshmen,-0.445196
friend,-0.190237
friends,-0.151644
friendship,0.12381
friendships,-0.333768
frog,0.733114
fruit,0.5
ft,-0.030657
fu,0.862774
fuck,-0.351573
fucker,-0.851634
fuckfest,-0.415755
fucking,-0.963197
fucks,-0.045431
fuel,-0.848214
fugitive,0.817406
fun,-0.565797
gadget,0.012346
galaxy,0.939458
galeries,-0.892432
galleries,-0.450906
gals,-0.820579
gambling,0.478922
game,0.56271
gamer,-0.383147
games,-0.065153
gamma,-0.989012
gang,-0.614637
gangs,-0.734826
gangster,0.411485
gap,0.222567
garage,0.226298
garbage,0.959289
gardener,0.601953
garment,-0.725775
garments,-0.778945
gas,-0.015367
gay,0.991175
gays,0.864123
gb,-0.851081
gear,-0.54326
geek,-0.236444
geeks,0.535043
gem,0.083425
gene,0.74141
general,0.789865
generation,0.627799
genitals,-0.378824
genius,0.833412
genocide,-0.625
genre,-0.024
gentleman,0.985739
gentlemen,-0.774809
geocities,-0.587678
georgia,0.175088
german,-0.726161
ghetto,-0.967309
ghost,0.550063
giant,0.823634
gift,-0.220016
gifts,0.033975
girl,-0.741952
girlfriend,-0.917613
girlfriends,-0.615858
girlie,0.199977
girls,-0.736426
giver,0.737288
globe,0.781931
glory,0.448257
glove,0.551447
gloves,-0.828571
glue,0.119835
glutton,0.813856
gm,0.984363
gnome,0.54433
goal,0.354654
goat,-0.379883
god,0.965253
gold,-0.309665
golfbondage,-0.350365
golfer,-0.915212
golfing,0.612091
goner,0.624721
goo,-0.497469
